movie_id,title,rating,year,genres
1300498,百变星君,7.9,1995.0,"喜剧, 科幻, 奇幻"
4271894,非诚勿扰2,6.6,2010.0,"喜剧, 爱情"
27119586,谁先爱上他的,8.6,2018.0,"剧情, 喜剧, 同性"
1300883,赌神,8.5,1989.0,"剧情, 喜剧"
6011806,厨子戏子痞子,7.2,2013.0,"喜剧, 动作"
26972258,江湖儿女,7.6,2018.0,"爱情, 犯罪"
2131940,魔兽,7.6,2016.0,"动作, 奇幻, 冒险"
1303173,甲方乙方,8.5,1997.0,喜剧
30171425,扫毒2：天地对决,5.9,2019.0,"剧情, 动作, 悬疑, 犯罪"
1306123,英雄,7.7,2002.0,"剧情, 动作, 武侠, 古装"
1307315,哪吒闹海,9.2,1979.0,"动画, 奇幻, 冒险"
35698284,关于我和鬼变成家人的那件事,8.1,2023.0,"喜剧, 悬疑, 同性, 奇幻"
20471852,生化危机：终章,6.5,2017.0,"动作, 科幻, 恐怖"
35069506,一点就到家,6.5,2020.0,"剧情, 喜剧"
3530403,云图,8.1,2013.0,"剧情, 科幻, 悬疑"
26284621,追凶者也,7.9,2016.0,"剧情, 喜剧, 犯罪"
6799191,搜索,7.4,2012.0,"剧情, 悬疑"
33417046,宠爱,5.9,2019.0,"剧情, 喜剧, 爱情"
27191431,过春天,7.7,2019.0,剧情
1299680,整蛊专家,8.0,1991.0,"喜剧, 爱情"
26309788,金刚：骷髅岛,6.5,2017.0,"动作, 奇幻, 冒险"
36289423,射雕英雄传：侠之大者,5.2,2025.0,武侠
26320029,万万没想到,5.7,2015.0,"喜剧, 奇幻, 冒险, 古装"
25823277,三生三世十里桃花,4.0,2017.0,"爱情, 奇幻"
35765480,八角笼中,7.3,2023.0,"剧情, 动作"
4218768,画皮2,6.1,2012.0,"剧情, 爱情, 惊悚, 奇幻"
26357307,花木兰,4.9,2020.0,"动作, 冒险, 古装"
30292777,阳光普照,8.6,2019.0,"剧情, 家庭, 犯罪"
3412882,窃听风云,7.7,2009.0,"剧情, 动作, 惊悚"
1293323,大红灯笼高高挂,8.8,1991.0,剧情
1428581,天书奇谭,9.2,1983.0,"动画, 奇幻"
35155748,金刚川,6.3,2020.0,"剧情, 战争"
26182910,功夫瑜伽,5.0,2017.0,"喜剧, 动作, 冒险"
27615233,你好，之华,6.6,2018.0,"剧情, 爱情"
3097572,双子杀手,6.8,2019.0,"剧情, 动作, 科幻"
1890784,门徒,8.1,2007.0,"剧情, 惊悚, 犯罪"
35215390,狙击手,7.7,2022.0,"剧情, 历史, 战争"
27074316,一条狗的使命2,6.9,2019.0,"剧情, 喜剧, 家庭"
26774722,心理罪之城市之光,5.8,2017.0,"动作, 悬疑, 犯罪"
3578981,叶问2：宗师传奇,7.4,2010.0,"动作, 传记, 历史"
26748673,拆弹专家,6.2,2017.0,"动作, 悬疑, 犯罪"
1499008,满城尽带黄金甲,5.9,2006.0,"剧情, 动作, 爱情, 古装"
35294995,我和我的父辈,6.4,2021.0,剧情
6011805,一九四二,8.2,2012.0,"剧情, 历史, 战争, 灾难"
26334559,澳门风云3,4.5,2016.0,"喜剧, 动作"
25919910,师父,8.1,2015.0,"剧情, 动作, 武侠"
26021055,栀子花开,4.6,2015.0,爱情
4896304,龙门飞甲,6.9,2011.0,"剧情, 动作, 武侠, 古装"
1300064,家有喜事,8.5,1992.0,"剧情, 喜剧, 爱情, 家庭"
3626416,十月围城,7.7,2009.0,"剧情, 动作, 历史"
26774033,幕后玩家,5.6,2018.0,"剧情, 悬疑, 犯罪"
26630781,我不是潘金莲,6.7,2016.0,"剧情, 喜剧"
20505982,寒战2,7.2,2016.0,"剧情, 动作, 犯罪"
1292329,牯岭街少年杀人事件,8.9,1991.0,"剧情, 犯罪"
