movie_id,title
3820191,杜拉拉升职记
6730004,爱
27087724,好莱坞往事
1441602,霍元甲
3993588,狼图腾
26644002,傲娇与偏见
26290410,昨日青空
36877322,默杀
35818074,我爱你！
26219652,少年班
35914259,毒舌律师
1927686,爱情呼叫转移
26786669,决战中途岛
1302476,麦兜故事
11502973,星际特工：千星之城
1297763,方世玉
35164328,扫黑·决战
22266126,王牌保镖
27172891,大象席地而坐
26661191,奇门遁甲
30279836,第十一回
25853727,破风
24827387,盗墓笔记
10604486,不二神探
1307323,天下无双
26996619,古董局中局
1418605,夜宴
25849475,新娘大作战
3813779,剑雨
1950525,大灌篮
4709904,前度
36149032,我们一起摇太阳
27149818,胖子行动队
20020577,推拿
4009651,斗牛
19973815,分手合约
1294561,太极张三丰
1297909,A计划
20388223,激战
20266753,警察故事2013
1300303,我是谁
23331914,狂怒
26816104,从21世纪安全撤离
4896263,将爱情进行到底
3743114,黄海
35235365,断·桥
20513059,被偷走的那五年
2303845,刺客聂隐娘
26354336,爵迹
26816090,沉默的证人
25827963,西游记之孙悟空三打白骨精
26759539,十万个冷笑话2
30394535,被光抓走的人
36498717,小小的我
26935283,侍神令
26333560,疾速追杀2
5344178,11度青春之《老男孩》
36448279,罗小黑战记2
1292052,肖申克的救赎
25662329,疯狂动物城
1291561,千与千寻
1292722,泰坦尼克号
20495023,寻梦环游记
1292064,楚门的世界
1889243,星际穿越
1295644,这个杀手不太冷
1292720,阿甘正传
3541415,盗梦空间
35689244,F1：狂飙飞车
3793023,三傻大闹宝莱坞
3319755,怦然心动
26387939,摔跤吧！爸爸
26683290,你的名字。
1295038,哈利·波特与魔法石
1292001,海上钢琴师
1849031,当幸福来敲门
1308807,哈尔的移动城堡
2129039,飞屋环游记
1652587,阿凡达
25986180,釜山行
6786002,触不可及
1291560,龙猫
1291549,放牛班的春天
2131459,机器人总动员
1305487,猫鼠游戏
1292063,美丽人生
27010768,寄生虫
1292220,情书
26580232,看不见的客人
3011091,忠犬八公的故事
36445098,还有明天
11026735,超能陆战队
4920389,头号玩家
24733428,心灵奇旅
3287562,神偷奶爸
30170448,何以为家
1295124,辛德勒的名单
35593344,奥本海默
1291548,死亡诗社
4202982,冰雪奇缘
10533913,头脑特工队
11525673,布达佩斯大饭店
1851857,蝙蝠侠：黑暗骑士
36090457,头脑特工队2
1457217,哈利·波特与凤凰社
2133323,白日梦想家
1298070,加勒比海盗
27119724,小丑
2334904,禁闭岛
2051007,哈利·波特与死亡圣器(上)
2353023,驯龙高手
1292343,蝴蝶效应
5912992,熔炉
1907966,疯狂原始人
30334073,调音师
1485260,本杰明·巴顿奇事
1293544,沉默的羔羊
1293839,罗马假日
1292370,剪刀手爱德华
10577869,时空恋旅人
35575567,沙丘2
1291571,指环王1：护戒使者
1291843,黑客帝国
1292223,七宗罪
36328210,姥姥的外孙
1433330,哈利·波特与混血王子
3011051,恐怖游轮
21937452,素媛
21318488,消失的爱人
1296141,控方证人
1291832,低俗小说
1296736,钢琴家
1297359,幽灵公主
1292656,心灵捕手
36247731,新·驯龙高手
1292000,搏击俱乐部
1291552,指环王3：王者无敌
1296339,爱在黎明破晓前
35883131,雄狮少年2
25980443,海边的曼彻斯特
1306029,美丽心灵
4739952,初恋这件小事
26656728,泳者之心
24773958,复仇者联盟3：无限战争
5322596,超脱
1867345,遗愿清单
