movie_id,title,rating,total_ratings,directors,actors,screenwriters,release_date,genres,countries,languages,runtime,summary,link,poster,tags
27668250,南方车站的聚会,7.4,347969,刁亦男,"胡歌, 桂纶镁, 廖凡, 万茜, 奇道",刁亦男,2019-12-06,"剧情, 犯罪",中国大陆 / 法国,武汉方言,113分钟,南方某城市，重案队长刘队（廖凡 饰）重金悬赏在逃罪犯周泽农（胡歌 饰）。陪泳女刘爱爱（桂纶镁 饰） 、周泽农曾经的好友华华（奇道 饰）、五年未见的妻子杨淑俊（万茜 饰），各色人等各怀心事，相继被卷入这场罪与罚的追击旋涡。冒险与爱情，人性与救赎，这场特别的“聚会”该如何收场？善恶有道一念之间。 中国导演刁亦男曾凭借前作《白日焰火》获第 64届柏林国际电影节最佳影片金熊奖，凭本片入围第 72届戛纳国际电影节主竞赛单元。,https://movie.douban.com/subject/27668250/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2553934187.webp,
33447633,坚如磐石,6.0,385250,张艺谋,"雷佳音, 张国立, 于和伟, 周冬雨, 孙艺洲",陈宇,2023-09-28,"剧情, 动作, 犯罪",中国大陆,汉语普通话,127分钟,西南重镇金江市，一起公交汽车劫持爆炸案撬动了这座城市盘根错节的利益网。金五集团董事长黎志田（于和伟 饰）横跳政商两界，飞扬跋扈。而他的背后，金江市副市长郑刚（张国立 饰）则与之勾搭不清，相互牵制。郑刚的养子苏见明（雷佳音 饰）现供职于市公安局技术科，公交爆炸案的种种疑点令他察觉背后主使另有他人，于是执意追查幕后真相。另一方面，中央派来的调查组进驻金江市，其毫不妥协的气势令郑刚如坐针毡，为此不惜铤而走险，丢卒保车。然而以利益结成的同盟，不仅脆弱，更灭不了鱼死网破。 钱外有钱，官上有官，无休无止的利益黑洞，裹挟覆灭了多少贪婪之徒……,https://movie.douban.com/subject/33447633/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2896319483.webp,
26698000,心理罪,4.9,156640,谢东燊,"廖凡, 李易峰, 万茜, 李纯, 张国柱",顾小白,2017-08-11,"动作, 悬疑, 犯罪",中国大陆,汉语普通话,110分钟,一杯人血牛奶，为何会对人产生致命诱惑？ 什么样的扭曲心理才会为之痴狂，甚至不惜接二连三，连环杀人？ 非同寻常的杀手，超越常理的罪案，需要非同一般的警探。 年轻气盛的犯罪心理学高材生方木（李易峰 饰）出手相助，却被卷入其中； 身手不凡的野兽派刑警队长邰伟（廖凡 饰）嫉恶如仇，却难以走出内心泥沼。 两人联手，却成绝妙拍档！ 一场身手的较量，心智的角逐，随之展开……,https://movie.douban.com/subject/26698000/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2492869971.webp,
26336253,使徒行者,6.9,213594,文伟鸿,"张家辉, 古天乐, 吴镇宇, 佘诗曼, 许绍雄",关皓月,2016-08-11,"剧情, 动作, 犯罪",中国大陆 / 中国香港,粤语 / 汉语普通话,109分钟,高级警官康Sir遭人杀害，临死前他销毁了所有卧底的资料，以保护这些游走在生死线上的兄弟。在此之后，警方开始着手恢复数据，与卧底们重新取得联系。女卧底阿钉（佘诗曼 饰）某天收到一条康Sir发明的密码，在刑警男友阿Q（吴镇宇 饰）的指挥下，她尝试与这名神秘卧底进行接触。另一方面，某披着合法公司外皮的黑道组织重要成员阿蓝（张家辉 饰）和邵志朗（古天乐 饰）联手袭击了竞争对手。这二人情同手足，在公司少壮派中风头正劲，如日中天。然而警方对他们行动的预判令阿蓝开始怀疑公司有内鬼存在。 经过几番试探，阿钉终于与神秘卧底接头，可是莫大的危险也向她奔涌袭来……,https://movie.douban.com/subject/26336253/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2369022569.webp,
27019527,嘉年华,8.2,304542,文晏,"文淇, 周美君, 史可, 耿乐, 刘威葳",文晏,2017-11-24,剧情,中国大陆 / 法国,汉语普通话,107分钟,小米（文淇 饰）在位于风景区的一间酒店里打工。一天，正值小米当班，一个男人带着两个看上去还是小学生的女孩子来开房，虽然心中所有顾虑，但小米秉着多一事不如少一事的念头替他们开了两间房。之后，在监控录像里，小米看到男人在半推半就之下进入了两个女孩的房间，心中隐隐觉得不安的小米将这一幕用手机录了下来。 两个女孩一个叫孟小文（周美君 饰），一个叫张新新（蒋欣悦 饰），那个男人是他们的“干爹”。东窗事发之后，小文的母亲报警并找到了律师郝洁（史可 饰），希望法律能够还他们一个公道。然而事与愿违，证据的缺乏让嫌疑人迟迟不能定罪，而最最关键的证据，正掌握在小米的手中。,https://movie.douban.com/subject/27019527/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503644828.webp,
1299288,胭脂扣,8.5,322471,关锦鹏,"梅艳芳, 张国荣, 万梓良, 朱宝意, 温碧霞",邱刚健,1987-12-05,"剧情, 爱情, 奇幻",中国香港,粤语,96分钟,报社记者袁永定（万梓良 饰）遇到了一位前来登寻人广告的女子如花（梅艳芳 饰），无意中才发现了该名冷艳的女子原是鬼魂，早在50年前，她是一名红牌妓女，结识了一名纨绔子弟十二少陈振邦（张国荣 饰）。如花深深爱上了这名多情的公子，两人已到了谈婚论嫁的地步，由于身份悬殊，遭到了十二少家人的极力反对。无奈之下，他们以胭脂扣定情，一起吞鸦片殉情。如花未能在地府看到自己的爱人，便到阳间寻找。 如花在两名记者的帮助下，得知原来当年十二少被人救活了，如今生活潦倒。面对十二少的懦弱，如花伤心欲绝，把胭脂扣返还，回到阴间投胎转世。,https://movie.douban.com/subject/1299288/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2205476838.webp,
26797419,二代妖精之今生有幸,5.4,162398,肖洋,"冯绍峰, 刘亦菲, 李光洁, 郭京飞, 焦俊艳",肖洋,2017-12-29,"喜剧, 爱情, 奇幻",中国大陆,汉语普通话,110分钟,身负巨债的动物饲养员袁帅（冯绍峰 饰），为了还清百万巨债，他四处与富家女相亲，却误打误撞爱上来人间报恩的狐妖白纤楚（刘亦菲 饰）。妖怪管理局局长云中鹤为阻止人妖相恋，派魔都小分队洪思聪队长捉拿违规狐妖白纤楚，袁帅为了寻回爱人狐妖，勇闯妖界……,https://movie.douban.com/subject/26797419/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507022339.webp,
30423193,使徒行者2：谍影行动,6.2,195244,文伟鸿,"张家辉, 古天乐, 吴镇宇, 姜珮瑶, 张亦驰",关皓月,2019-08-07,"剧情, 动作, 犯罪",中国大陆 / 中国香港,粤语 / 汉语普通话,98分钟,童年兄弟意外失散，30年后因一桩罪案相见，两人已身处不同阵营。随着对罪案调查的深入，一个多年来隐于幕后的恐怖组织渐渐浮出水面。,https://movie.douban.com/subject/30423193/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2563751491.webp,
4881607,撒娇女人最好命,5.6,222936,彭浩翔,"周迅, 黄晓明, 隋棠, 谢依霖, 康晋荣",彭浩翔,2014-11-28,"喜剧, 爱情",中国大陆 / 中国香港,汉语普通话 / 英语,95分钟,女汉子张慧（周迅饰）从大学时期起就暗恋同学蠢萌宅男龚志强（黄晓明饰），可惜龚志强一直都把她当哥们儿，而且还坚持在事业有成之前保持单身，张慧只好就默默等待着。一次出差，志强邂逅了台湾软妹蓓蓓（隋棠饰），在蓓蓓的撒娇攻势下志强缴械投降，两人瞬间爱的天雷勾地火。张慧得知情况后大受打击，好在闺蜜——号称上海撒娇女王的阮美（谢依霖饰）出手相救，还找来了长江以南最强撒娇天团相助，誓要教张慧训练为撒娇达人，夺回真爱。一场腥风血雨的男神争夺战势在必行，究竟鹿死谁手？ 本片改编自罗曼夫的畅销情感书籍《会撒娇的女人最好命》。,https://movie.douban.com/subject/4881607/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2213388572.webp,
26966580,妖铃铃,4.2,161837,吴君如,"吴君如, 沈腾, 岳云鹏, 张译, 姜逸磊",周运海,2017-12-29,"喜剧, 惊悚",中国大陆,汉语普通话,88分钟,无良地产商父子徐大富（沈腾 饰）和徐天宇（岳云鹏 饰）一心想争夺豪华CBD中一幢破旧居民楼“萌贵坊”的产权，但萌贵坊内仍存四户怪咖不愿搬出—神医王保健（张译 饰）和他的儿子鸡丁（李亦航 饰）、民间发明家夫妇李菊花（Papi 饰）和金三（潘斌龙 饰）、网红主播阿萍（焦俊艳 饰）以及 过气古惑仔阿仁（方中信 饰）和阿明（吴镇宇 饰）。 某个月黑风高的夜晚，怪事接连发生，僵尸，丧尸，吸血男爵，红衣女鬼接踵而至，陷入恐慌的“留守怪咖”请来江湖上人称“万能大师”的铃姐（吴君如 饰）帮他们化解危难，没想到铃姐却带来了更大的麻烦……,https://movie.douban.com/subject/26966580/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2506825662.webp,
1308076,蓝宇,8.4,343476,关锦鹏,"胡军, 刘烨, 苏瑾, 李华彤, 卢芳",魏绍恩,2001-11-22,"剧情, 爱情, 同性",中国大陆 / 中国香港,汉语普通话,86分钟(香港),陈捍东（胡军）和蓝宇（刘烨）的爱情始于一场性交易，其时，蓝宇是为生活所迫决定出卖自己肉体的清纯大学生，陈捍东则是情场老手，惯做“花花公子”的他虽对特别的蓝宇怦然心动，却也认为蓝宇不过是他众多玩伴中的一个。慢慢地，随着两人交往的深入，陈捍东发现自己的心已在不知不觉间被蓝宇充满。可是他又不敢肯定，试图通过与女人结婚证明自己的“正常”，当求证到那不过是错觉一场时，蓝宇早已消失在茫茫人海。 真正的爱情故事总是令旁观者唏嘘感叹，无论它是异性间还是同性间的。而令旁观者感动的爱情，往往又是同勇敢、固执、单纯等简单却难拥有的质量联系在一起的，蓝宇（和捍东）正属稀少的那类人，所以他们的爱情才显珍贵。,https://movie.douban.com/subject/1308076/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p471812775.webp,
4724739,单身男女,6.8,297140,杜琪峰,"古天乐, 吴彦祖, 高圆圆, 林雪, 尹子维",韦家辉,2011-03-31,"喜剧, 爱情",中国香港,粤语 / 汉语普通话,115分钟,为追寻爱情，苏州女孩程子欣（高圆圆 饰）随男友来至香港，在一家金融公司供职。谁知男友移情别恋，令子欣备受打击。偶然机缘，她结识了正处于瓶颈期的建筑师方启宏（吴彦祖 饰），二人互相勉励，子欣丢掉了关于前男友的一切，启宏也决定重新出发，并相约一周后给子欣看最新的设计图。谁知约会当晚，子欣却失约了。原来在子欣的办公室对面，另一家公司的老板张申然（古天乐 饰）长久以来一直注视着她。在她失落期间，两人通过彩色贴纸交流，子欣也渐渐喜欢上了这个大男孩。子欣忘记了和启宏的约定，与申然约在某咖啡厅见面，而申然却睡在了另一个女人的床上。 阴差阳错，让三个人的缘分暂时中断。直到三年后的一天，未了的情缘继续上演……,https://movie.douban.com/subject/4724739/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p918517782.webp,
1907464,集结号,8.2,286336,冯小刚,"张涵予, 邓超, 袁文康, 汤嬿, 廖凡",刘恒,2007-12-20,"剧情, 传记, 历史, 战争",中国大陆 / 中国香港,汉语普通话 / 英语,124分钟,1948年解放战争时期，连长谷子地（张涵予 饰）率领九连47名战士在汶河岸执行掩护大部队撤退的任务，团长刘泽水（胡军 饰）下令，以集结号为令，听见号响就撤退。 惨烈的战争在炮弹的轰鸣中开始，九连的战士死伤惨重，排长焦大鹏（廖凡 饰），牺牲前说自己听见了集结号，谷子地自己没有听见，他决定死守阵地。九连打退了敌人三次进攻，炸毁二辆坦克，歼敌无数，全连除连长谷子地，47人全部阵亡。 这场战争改变了谷子地的人生。由于部队改了编号，谷子地找不到组织，九连牺牲的烈士们也被认定为失踪。谷子地开始了艰难的寻找，为九连的兄弟们讨个说法，也为了探明当年集结号的真相。,https://movie.douban.com/subject/1907464/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1655611025.webp,
1394968,举起手来！,7.4,181659,冯小宁,"郭达, 潘长江, 刘小微, 李明, 胡晓光",冯小宁,2005,"喜剧, 战争",中国大陆,汉语普通话,87分钟,我姥姥（刘薇 饰）上学的年代正是闹鬼子的时候，学校里经常有鬼子来抓爱国学生，而被抓走的学生又大多没有回来过。一天，姥姥被鬼子盯上，慌乱之中钻进大木箱被日本鬼子抬上了列车。出站驶入山区时列车遭到游击队员袭击，队长将大木箱子交给一个赶着驴车回村的农夫（郭达 饰），不想就遇到一队 鬼子兵。巧妙地骗过搜查，农夫却被强令带路进入石桥村。进入石桥村，村里老小都加入到解救的队伍中来。不仅如此，村里埋设的地雷、老奶奶喂养的大公鸡、农夫拉车的驴也都让鬼子出尽了洋相、吃尽了苦头，尤其是个“罗圈腿”（潘长江 饰）。经过一天的巧妙周旋，姥姥和农夫配合打回村里的游击队员全歼了鬼子的小分队……,https://movie.douban.com/subject/1394968/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1538030270.webp,
25829175,西游记女儿国,4.4,175030,郑保瑞,"郭富城, 冯绍峰, 赵丽颖, 小沈阳, 罗子溢",文宁,2018-02-16,"喜剧, 爱情, 奇幻",中国大陆 / 中国香港,汉语普通话,116分钟,唐僧师徒途经忘川河，因激怒河神而误入西梁女界。闯入其中，众人才发现这个国家只有女性，并且建国以来此地就没来过男性。而且国中立有祖训，将男人视为天敌。典籍中更有预言，指明有朝一日，会有东土而来的僧人带着一只猴子、一头猪和一个小蓝人闯入其中。他们到来之日，便是女儿国走向毁灭之时。,https://movie.douban.com/subject/25829175/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2511375626.webp,
35087699,中国医生,6.9,259747,刘伟强,"张涵予, 袁泉, 朱亚文, 李晨, 易烊千玺",于勇敢,2021-07-09,"剧情, 灾难",中国大陆,汉语普通话,129分钟,电影根据新冠肺炎疫情防控斗争的真实事件改编，以武汉市金银潭医院为核心故事背景，同时兼顾武汉同济医院、武汉市肺科医院、武汉协和医院、武汉大学人民医院（湖北省人民医院）、火神山医院、方舱医院等兄弟单位，以武汉医护人员、全国各省市援鄂医疗队为人物原型，全景式记录波澜壮阔、艰苦卓绝的抗疫斗争。,https://movie.douban.com/subject/35087699/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2666591984.webp,
30299311,受益人,6.5,222567,申奥,"大鹏, 柳岩, 张子贤, 张邵勃, 刘刚",申奥,2019-11-08,"剧情, 喜剧, 爱情",中国大陆,汉语普通话,112分钟,吴海（大鹏 饰）为了给罹患哮喘的6岁儿子治病，在好友钟振江（张子贤 饰）的怂恿下，刻意结识了一个与他同样身处边缘和底层的网络女主播淼淼（柳岩 饰），决心酝酿一场别有用心的婚姻骗局……,https://movie.douban.com/subject/30299311/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2572429001.webp,
10763164,扫毒,7.6,296841,陈木胜,"古天乐, 张家辉, 刘青云, 袁泉, 卢海鹏",陈木胜,2013-11-29,"剧情, 动作, 悬疑, 犯罪",中国大陆 / 中国香港,汉语普通话 / 粤语 / 泰语 / 英语,134分钟,从小一起长大的好兄弟马昊天（刘青云 饰）、张子伟（张家辉 饰）和 苏建秋（古天乐 饰）共同效力于警队扫毒科。在一次临时改变计划的行动后，建秋因为卧底身份不能与妻子（袁泉 饰）过正常生活而心生退意，但在阿天与子伟的劝说下，三人决定进行最后一搏。建秋跟着毒贩老大黑柴（林国斌 饰）前往泰国与毒贩Bobby（卢惠光 饰）进行对接，目的是见到行动的最大目标“八面佛”（卢海鹏 饰），阿天则和子伟以及同事阿益（吴廷烨 饰）进行跟进。由于泰国警方的配合不力导致建秋身份暴露，虽然建秋答应阿天继续把交易完成，但失败的导火索已经埋下。交易当天警方几乎全军覆没，危急之时阿天挟持了八面佛的女儿缅娜（宝儿 饰）准备逃命，八面佛承诺只要还回缅娜阿天可以带走建秋和子伟中的一个，没被选中的则要被推进鳄鱼池，面对抉择阿天及进退两难……,https://movie.douban.com/subject/10763164/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2157480930.webp,
27624661,比悲伤更悲伤的故事,4.8,175095,林孝谦,"陈意涵, 刘以豪, 张书豪, 陈庭妮, 吴映洁",吕安弦,2019-03-14,爱情,中国台湾,汉语普通话,106分钟,唱片制作人张哲凯(刘以豪)和王牌作词人宋媛媛(陈意涵)相依为命，两人自幼身世坎坷只有彼此为伴，他们是亲人、是朋友，也彷佛是命中注定的另一半。父亲罹患遗传重症而被母亲抛弃的哲凯，深怕自己随时会发病不久人世，始终没有跨出友谊的界线对媛媛展露爱意。眼见哲凯的病情加重，他暗自决定用剩余的生命完成他们之间的终曲，再为媛媛找个可以托付一生的好男人。这时，事业有 成温柔体贴的医生(张书豪)适时的出现让他成为照顾媛媛的最佳人选，二人按部就班发展着关系。一切看似都在哲凯的计划下进行。然而，故事远比这里所写更要悲伤......,https://movie.douban.com/subject/27624661/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549523952.webp,
